Berlin-Zehlendorf,8089098,4,Berlin
Berliner Tor (S-Bahn),8000908,3,Hamburg
Berliner Tor (S-Bahn),8000908,3,Hamburg
Berliner Tor (S-Bahn),8000908,3,Hamburg
Bermatingen-Ahausen,8000909,6,Bermatingen
Bernau (b Berlin),8013470,3,Bernau bei Berlin
"""Bernau a",8000911,BEG,Bernau a. Chiemsee
Bernau-Friedenstal,8089099,5,Bernau
Bernau-Friedenstal,8089099,5,Bernau
Bernburg,8010043,4,Bernburg
Bernburg-Strenzfeld,8011169,6,Bernburg
Bernburg-Waldau Hp,8011170,7,Bernburg
Bernburg-Waldau Hp,8011170,7,Bernburg
Berne,8000913,6,Berne
Bernried,8000918,6,Bernried
Bernterode,8011172,6,Bernterode
Bersenbrück,8000919,6,Bersenbrück
Berthelsdorf (Erzgeb),8010044,7,Weißenborn/Erzgebirge
Berzhahn,8000921,7,Berzhahn
Besch,8000923,6,Perl-Besch
Besigheim,8000925,5,Besigheim
Besseringen,8000926,6,Merzig
Bestensee,8011173,6,Bestensee
Bestwig,8000927,5,Bestwig
Betriebsbahnhof Berlin-Rummelsburg,8089006,4,Berlin
Betriebsbahnhof Berlin-Schöneweide,8089007,4,Berlin
Bettmannsäge,8000928,7,Regen
Betzdorf (Sieg),8000034,3,Betzdorf 
Beucha,8010046,6,Brandis
Beuggen,8000932,6,Rheinfelden (Baden)
Beuna (Geiseltal),8011177,6,Beuna (Geiseltal)
Beuren,8011178,6,Leinefelde-Worbis
Beuron,8000933,7,Beuron
Beusselstraße,8089118,4,Berlin
Beutelsbach,8000934,5,Weinstadt
Beutersitz,8011179,6,Uebigau-Wahrenbrück
Bexbach,8000941,6,Bexbach
Beyendorf,8011181,6,Magdeburg
Biberach (Baden),8000942,5,Biberach 
Biberach (Riß),8000943,4,Biberach (Riß)
Biberach Süd,8000944,6,Biberach (Riß)
Biblis,8000503,4,Biblis
Bibra,8011183,7,Bibra
Bichl,8000945,6,Bichl
Bickenbach (Bergstr),8000948,5,Bickenbach
Biebesheim,8000951,5,Biebesheim
Biederitz,8010047,5,Biederitz
Bielefeld Hbf,8000036,2,Bielefeld
Bielefeld Hbf,8000036,2,Bielefeld
Bielefeld Ost,8000953,6,Bielefeld
Bielefeld-Senne,8000956,6,Bielefeld
Biendorf,8011184,6,Biendorf
Bienenbüttel,8000955,5,Bienenbüttel
Bienenmühle,8011185,6,Bienenmühle
Bierbach,8000357,7,Blieskastel
Bieren-Rödinghausen,8000957,7,Rödinghausen
Bieringen,8000959,6,Rottenburg 
Bieringen (b Horb),8000959,6,Rottenburg 
Biesdorf,8089055,4,Berlin
Biesenrode,8011187,7,Mansfeld
Biesenthal,8011188,6,Biesenthal
Biessenhofen,8000962,5,Biessenhofen
Biessenhofen,8000962,5,Biessenhofen
Bietigheim (Baden),8000963,5,Bietigheim
Bietigheim-Bissingen,8000038,2,Bietigheim-Bissingen
Bietigheim-Ellental,8001746,5,Bietigheim-Bissingen
Bietingen,8000965,6,Gottmadingen
Bigge,8000966,6,Olsberg
Bildstock,8000967,6,Friedrichsthal
Billenhausen,8000969,7,Krumbach (Schwaben)
Billerbeck,8000970,6,Billerbeck
Billwerder-Moorfleet (S-Bahn),8000971,5,Hamburg
Billwerder-Moorfleet (S-Bahn),8000971,5,Hamburg
Binau,8000973,6,Binau
Bindfelde,8011190,7,Stendal
Bindlach,8000974,6,Bindlach
Bingen (Rhein) Hbf,8000039,4,Bingen 
Bingen (Rhein) Stadt,8000976,4,Bingen 
Bingen-Gaulsheim,8000975,6,Bingen-Gaulsheim
Binolen,8000978,7,Balve
Birkelbach,8000983,6,Erndtebrück
Birkenau,8000984,6,Birkenau
Birkengrund,8080170,6,Ludwigsfelde
Birkenstein,8070002,5,Hoppegarten
Birkenwerder (b Berlin),8080190,4,Birkenwerder
Birkungen,8010048,7,Leinefelde-Worbis
Birresborn,8000989,6,Birresborn
Bischheim-Gersdorf,8011199,6,Haselbachtal
