München Ost,8000262,1
München Rosenheimer Platz,8004136,3
München Siemenswerke,8004137,4
München-Allach,8004140,4
München-Berg am Laim,8004142,4
München-Freiham,8004181,4
München-Giesing,8004148,3
München-Hackerbrücke,8004129,3
München-Hirschgarten,8004179,3
München-Karlsfeld,8004150,4
München-Laim Pbf,8004151,3
München-Langwied,8004152,4
München-Mittersendling,8004154,4
München-Moosach,8004155,4
München-Obermenzing,8004157,4
München-Pasing,8004158,2
München-Riem Pbf,8004160,4
München-Untermenzing,8004139,4
München-Westkreuz,8004163,4
Münster (Westf) Hbf,8000263,2
Münster (Westf) Hbf,8000263,2
Murnau,8004185,4
Nauen,8010239,3
Naumburg (Saale) Hbf,8010240,3
Neckarelz,8000264,3
Neckargemünd,8000265,3
Neckarsteinach,8004219,4
Neckarsulm,8004220,3
Nettelnburg (S-Bahn),8004241,4
Neu Isenburg,8004246,4
Neu Ulm,8006730,4
Neubeckum,8004251,4
Neubeckum,8004251,4
Neubiberg,8004252,4
Neubrandenburg,8010241,3
Neubrücke (Nahe),8004253,4
Neudietendorf,8010242,4
Neuenmarkt-Wirsberg,8000267,4
Neufahrn (b Freising),8004279,4
Neuhaus (Pegnitz),8004284,4
Neukieritzsch,8010243,4
Neumarkt (Oberpf),8004305,3
Neumünster,8000271,2
Neunkirchen (Saar) Hbf,8000272,3
Neuss Hbf,8000274,2
Neuss Hbf,8000274,2
Neuss Hbf,8000274,2
Neustadt (Aisch) Bahnhof,8004323,4
Neustadt (Weinstr) Böbig,8004489,4
Neustadt (Weinstr) Hbf,8000275,2
Neustadt a Rübenberge,8004322,4
Neustrelitz Hbf,8010250,4
Neuwied,8000276,3
Neuwiedenthal (S-Bahn),8006750,4
Neuwirtshaus-Porscheplatz,8004338,4
Nidda,8000277,4
Niebüll,8004343,3
Niederlahnstein,8000278,4
Niedernhausen (Taunus),8004400,4
Nienburg (Weser),8000279,3
Nikolassee,8089078,4
Nikolassee,8089078,4
Nikolassee,8089078,4
Norddeich Mole,8007768,4
Nordhausen,8010256,3
Northeim (Han),8000283,3
Nottuln-Appelhülsen,8000595,4
Nürnberg Hbf,8000284,1
Nürnberg-Frankenstadion,8004493,4
Nürtingen,8004488,3
Oberesslingen,8004528,4
Oberhausen Hbf,8000286,2
Oberschleißheim,8004580,4
Oberstdorf,8004585,3
Oberursel (Taunus),8004596,4
Oelde,8004626,4
Offenbach (Main) Hbf,8000349,4
Offenbach (Main) Ost,8004645,3
Offenbach Ledermuseum,8070091,4
Offenbach Marktplatz,8070090,4
Offenbach-Kaiserlei,8070092,4
Offenburg,8000290,2
Oftersheim,8004658,4
Ohlsdorf (S-Bahn),8004661,4
Ohlsdorf (S-Bahn),8004661,4
Olching,8004667,4
Oldenburg (Oldb) Hbf,8000291,2
Olympiastadion,8089330,3
Opladen,8000853,4
Oranienburg,8013487,3
Oranienburger Straße,8089027,4
Osnabrück Altstadt,8004689,4
Osnabrück Hasetor,8004689,4
Osnabrück Hbf,8000294,2
Osnabrück Hbf,8000294,2
Osnabrück Hbf,8000294,2
Osnabrück Hbf,8000294,2
Osterburken,8000295,4
Osterholz-Scharmbeck,8004702,4
Osthofen,8004714,4
Ostkreuz,8011162,3
Ostseebad Binz,8011191,3
Othmarschen (S-Bahn),8004719,4
Ötigheim,8004636,4
Paderborn Hbf,8000297,2
Papenburg (Ems),8004751,4
Papestraße,8011113,1
Papestraße,8011113,1
Papestraße,8011113,1
Parsberg,8004755,4
Pasewalk,8010268,4
Passau Hbf,8000298,3
Pegnitz,8004759,4
Petershausen (Oberbay),8004775,3
Pforzheim Hbf,8000299,2
Pinneberg,8004819,3
Pinneberg,8004819,3
