Dillingen (Saar),3,Dillingen (Saar),"{'type': 'Point', 'coordinates': [6.72215, 49.35271]}"
Ditzingen,4,Ditzingen,"{'type': 'Point', 'coordinates': [9.06705, 48.823611]}"
Doberlug-Kirchhain,4,Doberlug-Kirchhain,"{'type': 'Point', 'coordinates': [13.564241, 51.620576]}"
Doberlug-Kirchhain,4,Doberlug-Kirchhain,"{'type': 'Point', 'coordinates': [13.564241, 51.620576]}"
Donaueschingen,4,Donaueschingen,"{'type': 'Point', 'coordinates': [8.498919, 47.947786]}"
Donauwörth,4,Donauwörth,"{'type': 'Point', 'coordinates': [10.771443, 48.714026]}"
Duisburg Hbf,1,Duisburg,"{'type': 'Point', 'coordinates': [6.775903, 51.429785]}"
Duisburg-Buchholz,4,Duisburg,"{'type': 'Point', 'coordinates': [6.775406, 51.382919]}"
Duisburg-Großenbaum,4,Duisburg,"{'type': 'Point', 'coordinates': [6.77747, 51.364774]}"
Duisburg-Meiderich Süd,4,Duisburg,"{'type': 'Point', 'coordinates': [6.780191, 51.468831]}"
Dülmen,4,Dülmen,"{'type': 'Point', 'coordinates': [7.295765, 51.827676]}"
Dülmen,4,Dülmen,"{'type': 'Point', 'coordinates': [7.295765, 51.827676]}"
Düren,3,Düren,"{'type': 'Point', 'coordinates': [6.482451, 50.809517]}"
Düren,3,Düren,"{'type': 'Point', 'coordinates': [6.482451, 50.809517]}"
Düsseldorf Flughafen,2,Düsseldorf,"{'type': 'Point', 'coordinates': [6.786836, 51.292009]}"
Düsseldorf Flughafen,2,Düsseldorf,"{'type': 'Point', 'coordinates': [6.786836, 51.292009]}"
Düsseldorf Flughafen,2,Düsseldorf,"{'type': 'Point', 'coordinates': [6.786836, 51.292009]}"
Düsseldorf Flughafen,2,Düsseldorf,"{'type': 'Point', 'coordinates': [6.786836, 51.292009]}"
Düsseldorf Hbf,1,Düsseldorf,"{'type': 'Point', 'coordinates': [6.794319, 51.219962]}"
Düsseldorf Wehrhahn,4,Düsseldorf,"{'type': 'Point', 'coordinates': [6.798173, 51.228447]}"
Düsseldorf Zoo,4,Düsseldorf,"{'type': 'Point', 'coordinates': [6.796924, 51.236962]}"
Düsseldorf-Benrath,3,Düsseldorf,"{'type': 'Point', 'coordinates': [6.878931, 51.162293]}"
Düsseldorf-Bilk,4,Düsseldorf,"{'type': 'Point', 'coordinates': [6.775578, 51.207994]}"
Düsseldorf-Bilk,4,Düsseldorf,"{'type': 'Point', 'coordinates': [6.775578, 51.207994]}"
